Nº serie;Etiqueta;Fabricante;Modelo
1W9R7V3;000000026778;DELL;POWEREDGE R450
FV9R7V3;000000026779;DELL;POWEREDGE R450
IP: 10.181.5.201;000000026780;NUC;NUC
IP: 10,181,5,202;000000026781;NUC;NUC
JXVJRT3;0044358;DELL;
4G070R3;000000026811;DELL;POWEREDGE T-350
4YVJRT3;0044342;DELL;
GR6LDX3;000000026823;DELL;POWEREDGE R450
HR6LDX3;000000026833;DELL;POWEREDGE R450
3YZ08V3;0045464;DELL;POWEREDDGE T350 4DY3
JXZ08V3;0045465;DELL;POWEREDDGE T350 4DY3
4YZ08V3;0045466;DELL;POWEREDDGE T350 4DY3
6YZ08V3;0045467;DELL;POWEREDDGE T350 4DY3
2YZ08V3;0045469;DELL;POWEREDDGE T350 4DY3
HXZ08V3;0045468;DELL;POWEREDDGE T350 4DY3
1YZ08V3;0045471;DELL;POWEREDDGE T350 4DY3
4FFX7V3;0045372;DELL;POWEREDGE R450
V03XYXX5MJ;0045377;APPLE;MACBOOK PRO
5LT13Q3;0042219;Dell;Wyse 5070
CWVJRT3;0044365;DELL;OPTIPLEX 3000 TC
JVVJRT3;0044388;DELL;OPTIPLEX 3000 TC
HYVJRT3;0044351;DELL;OPTIPLEX 3000 TC
JYVJRT3;0044382;DELL;OPTIPLEX 3000 TC
JWVJRT3;0044361;DELL;OPTIPLEX 3000 TC
FXVJRT3;0044374;DELL;OPTIPLEX 3000 TC
GXVJRT3;0044386;DELL;OPTIPLEX 3000 TC
6YVJRT3;0044341;DELL;OPTIPLEX 3000 TC
1YVJRT3;0044387;DELL;OPTIPLEX 3000 TC
9WVJRT3;0044373;DELL;OPTIPLEX 3000 TC
9XVJRT3;0044369;DELL;OPTIPLEX 3000 TC
6WVJRT3;0044350;DELL;OPTIPLEX 3000 TC
8YVJRT3;0044381;DELL;OPTIPLEX 3000 TC
CXVJRT3;0044353;DELL;OPTIPLEX 3000 TC
FWVJRT3;0044362;DELL;OPTIPLEX 3000 TC
7YVJRT3;0044366;DELL;OPTIPLEX 3000 TC
9YVJRT3;0044370;DELL;OPTIPLEX 3000 TC
2YVJRT3;0044355;DELL;OPTIPLEX 3000 TC
5XVJRT3;0044360;DELL;OPTIPLEX 3000 TC
BWVJRT3;0044345;DELL;OPTIPLEX 3000 TC
6XVJRT3;0044385;DELL;OPTIPLEX 3000 TC
BYVJRT3;0044352;DELL;OPTIPLEX 3000 TC
DYVJRT3;0044372;DELL;OPTIPLEX 3000 TC
GYVJRT3;0044375;DELL;OPTIPLEX 3000 TC
41GXB99;0042027;TOSHIBA;4900-777
4J43SY3;0045569;DELL;PowerEdgeR650xs
725P2Z3;0045570;DELL;PowerEdgeR650xs
825P2Z3;0045571;DELL;PowerEdgeR650xs
925P2Z3;0045572;DELL;PowerEdgeR650xs
5WVJRT3;0044354;DELL;OPTIPLEX 3000 THIN CLIENT
HWVJRT3;0044371;DELL;OPTIPLEX 3000 THIN CLIENT
2XVJRT3;0044368;DELL;OPTIPLEX 3000 THIN CLIENT
1XVJRT3;0044377;DELL;OPTIPLEX 3000 THIN CLIENT
1WVJRT3;0044343;DELL;OPTIPLEX 3000 THIN CLIENT
DXVJRT3;0044349;DELL;OPTIPLEX 3000 THIN CLIENT
FYVJRT3;0044376;DELL;OPTIPLEX 3000 THIN CLIENT
3WVJRT3;0044348;DELL;OPTIPLEX 3000 THIN CLIENT
7XVJRT3;0044390;DELL;OPTIPLEX 3000 THIN CLIENT
5YVJRT3;0044344;DELL;OPTIPLEX 3000 THIN CLIENT
41-KCF26;0045412;TOSHIBA;4900-777
41-KCD84;0045414;TOSHIBA;4900-777
41-KCA78;0045411;TOSHIBA;4900-777
41-KCC39;0045413;TOSHIBA;4900-777
DWVJRT3;0044357;DELL;OPTIPLEX 3000 THIN CLIENT
41GXC58;0042036;TOSHIBA;4900-777
41GGT56;0042032;TOSHIBA;4900-777
41GGR78;0042030;TOSHIBA;4900-777
41-KBY23;0045409;TOSHIBA;4900-777
41-KCD43;0045417;TOSHIBA;4900-777
41-KCD27;0045405;TOSHIBA;4900-777
41-KCD96;0045404;TOSHIBA;4900-777
3XVJRT3;0044389;DELL;OPTIPLEX 3000 THIN CLIENT
3YVJRT3;0044378;DELL;OPTIPLEX 3000 THIN CLIENT
